customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age
73,Minette,Worters,Female,16,27-05-1960,Teacher,Missing,Affluent Customer,N,Yes,5,63
74,Pansy,Kiddie,Female,94,19-06-1969,Missing,Missing,Mass Customer,N,Yes,6,54
75,Dollie,Sealy,Female,28,15-07-1978,VP Product Management,Property,Mass Customer,N,No,19,45
76,Rea,Hasser,Female,20,23-01-1978,Statistician II,Retail,High Net Worth,N,Yes,18,46
77,Shermie,Andrin,Male,79,12-09-1989,Automation Specialist IV,Financial Services,Mass Customer,N,No,7,34
78,Arch,Van der Kruis,Male,37,12-03-1985,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8,39
79,Tybi,Silliman,Female,76,02-10-1968,Account Executive,Manufacturing,Mass Customer,N,No,18,55
80,Pablo,Small,Male,11,24-04-1978,Data Coordiator,Entertainment,Mass Customer,N,No,13,46
81,Bee,Blazewicz,Female,58,04-09-1986,Missing,Health,High Net Worth,N,No,13,37
82,Gleda,Cokely,Female,93,28-06-1965,Software Test Engineer III,Property,High Net Worth,N,No,19,58
83,Kerr,Simmell,Male,97,26-02-1967,Internal Auditor,IT,Mass Customer,N,Yes,18,57
84,Rich,Mathiasen,Male,78,07-02-1958,Accountant III,Missing,Mass Customer,N,Yes,14,66
85,Kane,Tixall,Male,1,21-05-1958,Analyst Programmer,Missing,Mass Customer,N,No,8,66
86,Job,Sleney,Male,75,04-03-1989,Occupational Therapist,Health,High Net Worth,N,Yes,7,35
87,Fields,Langdon,Male,78,23-04-1974,Editor,Financial Services,Mass Customer,N,No,8,50
88,Malynda,Tumber,Female,41,03-02-1966,Help Desk Operator,Property,High Net Worth,N,Yes,7,58
89,Benedicto,Hoxey,Male,74,22-01-1967,Speech Pathologist,Health,Mass Customer,N,Yes,14,57
90,Cary,Garron,Male,76,12-11-1984,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11,39
91,Dylan,Meaker,Male,69,24-02-1955,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17,69
92,Jodee,Judkins,Female,98,11-09-1980,Recruiting Manager,Health,Mass Customer,N,No,12,43
93,Gordon,Gowar,Male,63,16-07-1976,Project Manager,Retail,Mass Customer,N,Yes,10,47
94,Wallache,Simchenko,Male,33,07-08-1974,Civil Engineer,Manufacturing,Mass Customer,N,No,21,49
95,Nomi,Mallinder,Female,67,25-12-1960,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8,63
96,Heath,Olford,Male,33,31-08-1968,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15,55
97,Arne,Corain,Male,16,27-07-1979,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10,44
98,Allianora,Babalola,Female,19,17-03-1956,Safety Technician IV,Health,Mass Customer,N,No,7,68
99,Reggie,Mulliner,Male,97,13-06-1998,VP Accounting,Financial Services,Mass Customer,N,No,3,25
100,Tripp,Steed,Male,80,11-05-1968,General Manager,Financial Services,Mass Customer,N,Yes,4,56
101,Goran,Kwietek,Male,83,29-12-1975,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11,48
102,Langsdon,Tranfield,Male,51,27-11-1956,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16,67
103,Ethyl,Runham,Female,49,21-04-1997,Product Engineer,Financial Services,Affluent Customer,N,Yes,4,27
104,Odille,Panketh,Female,40,06-06-1978,Automation Specialist II,Health,Mass Customer,N,Yes,9,45
105,Maribeth,Pristnor,Female,25,17-09-2001,Recruiting Manager,Manufacturing,Mass Customer,N,No,1,22
106,Glyn,None,Male,54,03-07-1966,Software Test Engineer III,Health,High Net Worth,N,Yes,18,57
107,Pris,Stallebrass,Female,97,01-07-1990,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9,33
108,Kayle,Mingaud,Female,4,14-03-1994,Missing,Missing,High Net Worth,N,No,3,30
109,Cody,Blabey,Male,16,11-12-1978,Marketing Assistant,Missing,Affluent Customer,N,Yes,4,45
110,Sascha,St. Quintin,Male,23,31-07-2000,Missing,Financial Services,Affluent Customer,N,No,1,23
111,Cele,Evason,Female,65,29-08-1993,Analyst Programmer,Missing,Mass Customer,N,No,2,30
112,Shena,Parren,Female,88,12-08-1975,Marketing Manager,Retail,High Net Worth,N,No,12,48
113,Gage,Nickless,Male,67,06-05-1956,Staff Scientist,Missing,Mass Customer,N,No,20,68
114,Sunny,Swindells,Female,10,23-10-1985,Teacher,Entertainment,Affluent Customer,N,No,8,38
115,Alberik,Mereweather,Male,77,21-12-1981,Account Executive,Health,Mass Customer,N,No,18,42
116,Scottie,Swiffen,Male,49,05-02-1999,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2,25
117,Nance,Suttling,Female,75,23-02-1982,Marketing Manager,Manufacturing,Mass Customer,N,No,15,42
118,Prentice,Pearmain,Male,43,12-11-1959,Budget/Accounting Analyst IV,Missing,High Net Worth,N,No,19,64
119,Willey,Chastanet,Male,9,04-12-1981,Associate Professor,Missing,High Net Worth,N,Yes,9,42
120,Sloan,Wagg,Male,80,02-09-1978,Legal Assistant,Financial Services,High Net Worth,N,Yes,4,45
121,Myles,Pauncefort,Male,82,02-10-1957,Graphic Designer,Manufacturing,Mass Customer,N,No,15,66
122,Colver,Itter,Male,87,19-04-1979,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12,45
123,Almeta,Kalinsky,Female,85,03-12-1988,Analyst Programmer,Financial Services,High Net Worth,N,No,15,35
124,Kath,Cunney,Female,27,03-05-1995,Administrative Assistant II,Health,High Net Worth,N,Yes,5,29
125,Darrelle,Antoniewski,Female,94,17-03-1960,Computer Systems Analyst II,Property,Mass Customer,N,No,16,64
126,Norman,Cliff,Male,53,15-10-1992,Administrative Officer,Health,Mass Customer,N,Yes,3,31
127,Merrili,Whitear,Female,81,03-12-1974,Compensation Analyst,Financial Services,Mass Customer,N,No,19,49
128,Isidro,Cypler,Male,73,17-07-1977,Systems Administrator III,Property,Mass Customer,N,Yes,12,46
129,Weidar,Silkstone,Male,64,20-07-1985,Financial Advisor,Financial Services,High Net Worth,N,Yes,19,38
130,Raddy,Delete,Male,32,18-07-1997,Chemical Engineer,Manufacturing,Mass Customer,N,No,1,26
131,Jana,Renyard,Female,57,16-10-1964,Administrative Officer,Retail,High Net Worth,N,No,8,59
132,Celesta,Willavoys,Female,5,07-07-1963,Web Designer I,Manufacturing,Mass Customer,N,Yes,9,60
133,Eldridge,Fiddeman,Male,12,13-06-1977,VP Accounting,Financial Services,Mass Customer,N,Yes,16,46
134,Merna,McCulloch,Female,34,01-08-1997,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5,26
135,Rosalia,Sigart,Female,18,18-01-1975,Internal Auditor,IT,Mass Customer,N,No,3,49
136,Mel,Bennet,Male,46,26-05-1973,Senior Developer,Manufacturing,High Net Worth,N,Yes,7,50
137,Vaughn,Artin,Male,27,21-11-1987,Office Assistant II,Property,High Net Worth,N,No,10,36
138,Onofredo,Franc,Male,5,28-04-1985,Recruiter,Financial Services,Affluent Customer,N,Yes,13,39
139,Gar,None,Male,1,28-07-1964,Operator,Telecommunications,Affluent Customer,N,No,4,59
140,Morrie,Flaxon,Male,9,20-05-1994,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2,30
141,Townsend,Trobe,Male,67,25-06-1954,Teacher,Financial Services,High Net Worth,N,Yes,10,69
142,Bentley,Fortesquieu,Male,57,07-08-1967,Quality Engineer,Health,Affluent Customer,N,No,17,56
143,Kendall,Figg,Male,19,01-09-1957,Operator,Argiculture,Mass Customer,N,Yes,11,66
145,Filippo,Ferrara,Male,33,21-07-1997,Account Executive,Financial Services,Mass Customer,N,No,4,26
146,Ricoriki,Matlock,Male,34,08-04-1985,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8,39
147,Rea,Pattrick,Female,32,06-12-1973,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10,50
148,Jaquith,Maffey,Female,69,08-05-1981,Programmer Analyst III,Missing,Mass Customer,N,Yes,5,43
149,Drucy,Kausche,Female,41,31-01-1995,Research Nurse,Health,Mass Customer,N,Yes,1,29
150,Bradly,Crosse,Male,6,23-08-1983,Cost Accountant,Financial Services,Affluent Customer,N,No,17,40
151,Donnie,Brimson,Male,36,31-01-1965,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13,59
152,Stephana,Cardew,Female,5,03-03-1981,Compensation Analyst,Financial Services,Mass Customer,N,No,16,43
153,Lorilyn,Walshe,Female,73,28-07-1977,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12,46
154,Faydra,Dulieu,Female,90,13-02-1958,Junior Executive,Missing,Mass Customer,N,No,11,66
155,Orran,Bogges,Male,4,28-12-1985,Quality Engineer,Manufacturing,Mass Customer,N,No,10,38
156,Shayla,Rimmington,Female,23,09-09-1979,Cost Accountant,Financial Services,Mass Customer,N,Yes,11,44
157,Chad,Houtby,Male,97,23-11-1974,Financial Advisor,Financial Services,Affluent Customer,N,No,16,49
158,Hamlin,Odams,Male,99,03-09-1984,Internal Auditor,Missing,Affluent Customer,N,No,5,39
159,Arin,Matskevich,Male,90,12-05-1987,Research Nurse,Health,Affluent Customer,N,No,13,37
160,Wake,Durning,Male,5,15-07-1964,Registered Nurse,Health,Mass Customer,N,No,18,59
161,Tadd,Bloss,Male,49,21-01-1976,Missing,Missing,Mass Customer,N,No,16,48
162,Port,Acuna,Male,90,12-08-1979,Nurse Practicioner,IT,Mass Customer,N,No,15,44
163,Kessia,Helder,Female,58,06-09-1976,Librarian,Entertainment,High Net Worth,N,Yes,14,47
164,Aarika,Van Vuuren,Female,55,07-08-1999,Senior Editor,Retail,Affluent Customer,N,Yes,1,24
165,Aldon,Roelofs,Male,61,25-03-1984,Administrative Officer,Argiculture,Mass Customer,N,Yes,12,40
166,Elston,Oleszczak,Male,54,12-06-1955,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6,68
167,Nathalie,Tideswell,Female,95,27-10-1969,Missing,Health,High Net Worth,N,Yes,17,54
169,Alfy,Bruhnke,Male,20,19-10-1957,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5,66
170,Jammal,Gever,Male,80,02-06-1975,Pharmacist,Health,High Net Worth,N,No,21,48
171,Halli,Davidoff,Female,62,04-12-1970,Assistant Manager,Manufacturing,Mass Customer,N,No,10,53
172,Hilton,Carney,Male,54,12-09-1988,Editor,Manufacturing,Affluent Customer,N,Yes,6,35
173,Ebba,Hanselmann,Female,99,02-01-1997,General Manager,Health,Affluent Customer,N,No,1,27
174,Catie,Tosspell,Female,93,26-11-1989,Food Chemist,Health,Mass Customer,N,No,12,34
175,Templeton,Hambrook,Male,36,28-11-1975,Quality Engineer,Manufacturing,Affluent Customer,N,No,5,48
176,Angelo,Clayal,Male,39,13-04-1992,Accountant I,Property,Mass Customer,N,No,10,32
177,Ondrea,Pablos,Female,25,09-11-1989,Professor,Financial Services,High Net Worth,N,No,4,34
178,Matthieu,Bertelmot,Male,2,03-04-1967,Missing,Missing,Affluent Customer,N,No,8,57
179,Esteban,Sewill,Male,23,11-05-1966,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6,58
180,Trisha,Neasham,Female,16,17-09-1971,Web Designer III,Argiculture,Affluent Customer,N,No,14,52
181,Pavla,Braunle,Female,49,21-11-1982,Senior Editor,Manufacturing,Mass Customer,N,No,9,41
182,Lydon,Dahlman,Male,99,20-11-1992,Sales Associate,Financial Services,Affluent Customer,N,Yes,7,31
183,Dannie,Hissie,Female,7,05-08-1997,Geologist III,Retail,Affluent Customer,N,No,3,26
184,Nappie,Paolo,Male,40,13-12-1971,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7,52
185,Crosby,Walcot,Male,80,13-12-1979,Missing,Property,Mass Customer,N,Yes,13,44
186,Mireielle,Jeppe,Female,46,06-05-1974,Software Test Engineer I,Financial Services,Mass Customer,N,No,3,50
187,Pincas,Ather,Male,97,28-01-1954,Structural Engineer,Missing,Mass Customer,N,No,11,70
188,Audry,Seine,Female,54,22-06-1975,Safety Technician II,Property,High Net Worth,N,Yes,13,48
189,Umberto,Torricella,Male,73,19-07-1981,Safety Technician I,Financial Services,Affluent Customer,N,No,10,42
190,Hayley,Girardengo,Female,42,04-02-1979,Registered Nurse,Health,Affluent Customer,N,No,10,45
191,Christopher,Heining,Male,22,27-04-1960,Help Desk Operator,Missing,Affluent Customer,N,Yes,6,64
192,Goldi,Osler,Female,2,19-11-1978,Junior Executive,Health,Mass Customer,N,Yes,8,45
193,Foss,Hardes,Male,13,22-07-1964,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12,59
194,Ursala,Ferrai,Female,4,16-11-1974,Web Developer III,Financial Services,Affluent Customer,N,No,10,49
195,Talyah,Rylatt,Female,34,14-11-1958,Project Manager,Manufacturing,Mass Customer,N,No,6,65
196,Swen,Odhams,Male,90,22-02-1966,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6,58
197,Avis,None,Female,32,27-01-1977,Missing,Missing,High Net Worth,N,No,5,47
198,Vanya,Gumb,Female,82,29-11-1981,Assistant Media Planner,Entertainment,Mass Customer,N,No,16,42
199,Verla,Alven,Female,61,13-02-1978,Junior Executive,Health,Mass Customer,N,Yes,21,46
200,Hube,Weald,Male,7,04-02-1957,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19,67
201,Salem,Huie,Male,45,20-04-1966,Design Engineer,Manufacturing,Mass Customer,N,Yes,11,58
202,Audie,Pillinger,Female,38,24-06-1963,Librarian,Entertainment,Affluent Customer,N,Yes,16,60
203,Donovan,Conry,Male,71,13-01-1964,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11,60
204,Thorny,Hackworth,Male,56,01-10-1976,Editor,Financial Services,Mass Customer,N,No,5,47
205,Rolfe,Kellard,Male,18,01-12-1958,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6,65
206,Mari,Chevolleau,Female,98,19-07-1954,Statistician I,Missing,Mass Customer,N,Yes,14,69
207,Adena,Whyman,Female,9,10-08-1994,Missing,Missing,Mass Customer,N,No,7,29
208,Rutter,Excell,Male,57,31-10-1994,Office Assistant III,Property,High Net Worth,N,No,5,29
209,Udall,Bellard,Male,9,28-08-1957,Analog Circuit Design manager,Missing,Affluent Customer,N,Yes,6,66
210,Albrecht,Thomasson,Male,50,18-11-1963,Assistant Manager,Property,Mass Customer,N,No,18,60
211,Beitris,None,Female,6,04-03-1974,VP Marketing,Manufacturing,Mass Customer,N,Yes,5,50
212,Nanice,Ellse,Female,21,19-11-2001,Desktop Support Technician,IT,Affluent Customer,N,No,1,22
213,Lockwood,Exroll,Male,13,14-05-1996,Actuary,Financial Services,High Net Worth,N,Yes,6,28
214,Jeramie,Cellier,Male,82,29-11-1957,Food Chemist,Health,Mass Customer,N,No,6,66
215,Debera,Foxworthy,Female,37,24-06-1974,Assistant Professor,Retail,High Net Worth,N,Yes,18,49
216,Cinderella,Parcall,Female,12,12-01-1995,Quality Engineer,Financial Services,High Net Worth,N,Yes,7,29
217,Jeralee,Quartly,Female,63,09-12-1979,Missing,Manufacturing,High Net Worth,N,No,16,44
218,Stefa,Dunnan,Female,37,06-08-1993,Administrative Officer,Property,High Net Worth,N,Yes,8,30
219,Markus,Mughal,Male,9,25-11-1964,Database Administrator III,Health,Mass Customer,N,No,7,59
220,Jeniffer,Apark,Female,79,10-05-1954,Electrical Engineer,Manufacturing,High Net Worth,N,No,9,70
221,Mara,Bloore,Female,14,10-03-1980,Tax Accountant,Manufacturing,Mass Customer,N,No,14,44
222,Nev,Larive,Male,89,03-09-1978,Clinical Specialist,Health,Mass Customer,N,No,16,45
223,Ossie,Meaton,Male,13,26-11-1983,VP Sales,Missing,Affluent Customer,N,Yes,14,40
224,Morgun,Girvan,Male,2,03-12-1967,Compensation Analyst,Financial Services,Affluent Customer,N,No,17,56
225,Brittaney,Pring,Female,84,11-03-1977,Pharmacist,Health,Affluent Customer,N,No,13,47
226,Bondie,Letty,Male,96,11-11-1977,Database Administrator IV,Manufacturing,Mass Customer,N,No,20,46
227,Wendall,McKeand,Male,99,14-08-1973,Accountant I,Entertainment,Mass Customer,N,No,18,50
228,Lucia,Pickervance,Female,59,25-05-1986,Systems Administrator II,Manufacturing,High Net Worth,N,No,12,37
229,Vaughn,Lambis,Male,30,06-03-1966,Missing,Property,High Net Worth,N,No,19,58
230,Maegan,Scyone,Female,74,24-06-1954,Internal Auditor,Property,High Net Worth,N,No,11,69
231,Basile,Winsor,Male,48,05-08-1995,Design Engineer,Financial Services,Mass Customer,N,Yes,3,28
232,Zaria,Koeppke,Female,94,11-11-1987,Professor,Retail,Mass Customer,N,No,12,36
233,Art,Barwell,Male,34,08-08-1986,Environmental Tech,Property,Mass Customer,N,No,13,37
234,Mead,Alpes,Female,71,12-08-1969,Chief Design Engineer,Retail,High Net Worth,N,No,12,54
235,Leona,Phateplace,Female,30,26-12-1976,Social Worker,Health,Mass Customer,N,No,15,47
236,Tybalt,Gillingwater,Male,79,30-10-1954,Research Nurse,Health,Affluent Customer,N,No,14,69
237,Reginald,Dartan,Male,18,07-03-1974,Account Coordinator,Property,High Net Worth,N,Yes,11,50
238,Max,Bilborough,Male,54,04-02-1984,Programmer III,Missing,Mass Customer,N,Yes,14,40
239,Wells,Pressman,Male,62,13-12-1992,Registered Nurse,Health,Affluent Customer,N,No,3,31
240,Gavin,Fawks,Male,49,28-07-1989,Administrative Assistant III,IT,High Net Worth,N,Yes,15,34
241,Quillan,Duigan,Male,94,09-05-1987,Quality Engineer,Entertainment,Mass Customer,N,No,20,37
242,Taite,Droghan,Male,17,20-03-1992,Nurse,Property,Affluent Customer,N,No,8,32
243,Barbara,Croxley,Female,94,02-09-1976,Teacher,Manufacturing,High Net Worth,N,Yes,14,47
244,Germayne,Sperry,Male,57,25-11-1974,Missing,Retail,Affluent Customer,N,No,8,49
245,Noell,Grahlmans,Female,6,26-09-2001,Associate Professor,Financial Services,Affluent Customer,N,No,1,22
246,Binny,Whight,Female,63,28-02-1991,Technical Writer,Manufacturing,High Net Worth,N,No,9,33
247,Kristal,Joysey,Female,62,06-05-1983,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13,41
248,Inger,Eskell,Female,76,15-04-1978,Clinical Specialist,Health,Affluent Customer,N,Yes,12,46
249,D'arcy,Slay,Male,65,13-09-1992,Quality Control Specialist,IT,High Net Worth,N,No,9,31
250,Kristofer,None,Male,53,15-04-1988,Legal Assistant,Health,Mass Customer,N,Yes,13,36
251,Mala,None,Female,88,24-12-1977,VP Sales,Financial Services,Affluent Customer,N,Yes,10,46
252,Anthea,Ruskin,Female,39,24-01-1983,Account Coordinator,Property,Mass Customer,N,Yes,13,41
253,Amalee,Choak,Female,82,11-05-1997,Food Chemist,Health,Mass Customer,N,Yes,1,27
254,Barbie,Rubi,Female,98,22-09-1961,Information Systems Manager,Retail,Mass Customer,N,No,14,62
255,Keeley,Kruger,Female,2,15-01-1954,Desktop Support Technician,IT,Mass Customer,N,No,5,70
256,Linell,Beadle,Female,16,07-05-1975,Director of Sales,Health,High Net Worth,N,Yes,21,49
257,Marissa,None,Female,70,08-02-1966,Sales Associate,Manufacturing,Affluent Customer,N,Yes,19,58
258,Othella,Keher,Female,24,03-05-1992,Administrative Officer,Manufacturing,High Net Worth,N,No,9,32
259,Venita,Dymick,Female,70,22-07-1983,Senior Developer,Health,High Net Worth,N,Yes,3,40
260,Farand,Marriner,Female,47,30-08-1979,Senior Quality Engineer,Health,High Net Worth,N,Yes,22,44
261,Marve,Pryn,Male,74,15-10-1977,Structural Engineer,Missing,Mass Customer,N,No,8,46
262,Cordie,Petrelli,Male,97,23-12-1977,Missing,Health,High Net Worth,N,Yes,10,46
263,Tonia,Leigh,Female,89,19-11-1985,Dental Hygienist,Health,High Net Worth,N,No,7,38
264,Jedd,Spiby,Male,31,07-12-1977,Technical Writer,Health,Mass Customer,N,No,11,46
265,Pennie,Stoile,Male,74,05-10-1965,Sales Representative,Retail,High Net Worth,N,Yes,18,58
266,Lelia,Garatty,Female,69,19-07-1989,Account Executive,Retail,Affluent Customer,N,No,18,34
